Gene_acc,Gene_id,84P1,84P2,84P3,84M1,84M2,84M3,Desc
20,Tb06.3A7.960:mRNA-p1,392527.375,364668.1563,381763.9688,442425.5313,444931.4375,434030.6875,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,56215.99609,53439.71484,48668.26953,58135.71484,58025.06641,55447.80469,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,618162.75,629683.5,596172.9375,517192.875,555634.125,530941.3125,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,404954.9688,492639.1563,470646.625,119911.7188,104707.5078,102727.7656,"phosphatidic acid phosphatase protein, putative"
24,Tb09.v4.0013:mRNA-p1,326501,372402.875,407262.0625,296008.875,330775.375,251088.3438,"retrotransposon hot spot (RHS) protein, putative"
25,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,197563.1094,243065.3906,225779.5156,286440.7188,317953.9688,318468.9063,hypothetical protein
26,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,136581.125,133957.0469,132534.6094,315170.8438,292805.6875,349600.5,"expression site-associated gene (ESAG) protein, putative"
27,Tb09.v4.0018:mRNA-p1,59419.00781,51100.5,62593.37109,126678.6016,124892.2578,123796.5078,"expression site-associated gene 3 (ESAG3) protein, putative"
30,Tb09.v4.0107:mRNA-p1,293580.625,283511.8125,260137.6875,655862.3125,612351.625,732655.5,"expression site-associated gene 5 (ESAG5) protein, putative"
31,Tb09.v4.0109:mRNA-p1,126485.2734,158444.3125,145648.4375,146604.3125,144960.5,158529.4219,hypothetical protein
32,Tb09.v4.0119:pseudogenic_transcript-p1,22081.48047,20952,45050.46875,15018.96582,44626.76172,39865.96094,"variant surface glycoprotein (VSG, pseudogene), putative"
33,Tb09.v4.0150:pseudogenic_transcript-p1,263338.9375,293215.5938,321096.625,134682.5156,149557.0313,124075.9219,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,1406617.75,1071640.5,1319195.625,843757.6875,1321635.875,1234624.625,pumillo RNA binding protein PUF1
37,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,93068.60938,108875.7422,113425.6406,131131.4844,139034.6719,123501.3828,predicted SAP domain protein
38,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,2449595,2735381.75,2488079.5,2582726.5,2743240.5,2691874.5,"stress-inducible protein STI1-like, putative"
39,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,580842.25,505716.7188,523661.8125,572389.375,550851.5,623272.3125,"leucine carboxyl methyltransferase, putative"
41,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,204586.8906,192186.7188,192777.7031,251549.8906,284423.9375,282017.6875,"hypothetical protein, conserved"
42,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,750461.375,668341.625,650314.75,832426.75,904023.75,864491.125,cap guanine-N7 methyltransferase
43,Tb10.v4.0041:mRNA-p1,932453.6875,909617.75,825126.375,696935.0625,729439.8125,721991.9375,"PUB domain containing protein, putative"
44,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,162793.875,158304.875,170853.5469,71290.25,81328.01563,64944.02734,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
45,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,1256093.25,1276941.625,1280014.875,1962568.875,1872480,2001761.375,"hypothetical protein, conserved"
46,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,1539723.25,1508883.625,1413143.125,1066938.625,1116511.625,1076255.625,"prohibitin 2, putative"
47,Tb10.v4.0066:pseudogenic_transcript-p1,470357.375,453417.6875,480043.0938,417422.5,402887.5,468472.8438,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
49,Tb10.v4.0218:mRNA-p1,300095.5313,266435.3438,281670.9063,266709.75,209280.7344,259405.1563,"expression site-associated gene 3 (ESAG3) protein, putative"
51,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,118800.7422,111122.7578,118386.4688,194226.2813,177422.7969,199128.2813,base J-associated glucosyltransferase
52,Tb10.v4.0247:mRNA-p1;Tb11.v5.0496.1-p1;Tb927.10.6910:mRNA-p1;Tb927.10.6950:mRNA-p1,241909.7969,251395.7813,246723.4063,130028.0156,120509.1563,128313.1328,"sterol 24-c-methyltransferase, putative"
53,Tb11.0040:pseudogenic_transcript-p1;Tb11.v4.0043.1-p1;Tb927.5.190:pseudogenic_transcript-p1,136859.5781,124219.4688,140507.5781,167022.0938,135897.0156,180541.1875,"variant surface glycoprotein, degenerate"
54,Tb11.01.2730.1-p1,325058.7188,363228.75,372615.4063,355342.0625,349975.7188,350351.6563,"hypothetical protein, conserved"
55,Tb11.01.6250:mRNA-p1,2074204.75,101189.5234,50109.72656,93749.75781,72692.57813,75040.125,"expression site-associated gene 11 (ESAG11) protein, putative"
56,Tb11.02.5070b.1-p1,98995.97656,116188.3125,106622.8281,129172.875,83845.85156,126263.2656,"hypothetical protein, conserved"
57,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,552080.875,592194.625,599846.3125,660855.75,666209.9375,665179.375,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
58,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,109669.3672,113512.1719,108435.5547,123218.125,113511.9531,126999.8438,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
61,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,442732.5,492966.7813,497380.25,444721.4375,470772.7188,437790.2188,"exosome complex exonuclease RRP44p homologue, putative"
62,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,1158761.25,964814.75,1121938.25,974760,1164300.25,985367.4375,"mRNA processing protein, putative"
63,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,207402.2813,177245.3906,174824.1875,85265.28906,131504.0781,85095.64844,"cystathionine beta-synthase, putative"
64,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,374043.0938,322266.375,317372.6563,321147.25,344114.75,314499.125,"ubiquitin activating enzyme, putative"
65,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,2764115,2744641.5,2690706.5,2327223.75,2427538,2498849.75,"NADPH-cytochrome p450 reductase, putative"
66,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,243252.3438,260197.5938,266124.125,216376.4219,237699.3906,223851.5156,"hypothetical protein, conserved"
67,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,20630244,18362186,19660990,15923838,16453983,14844530,40S ribosomal protein S14
68,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,67578.80469,58855.15625,61064.16797,45815.35156,42377.55469,47959.03906,hypothetical protein
69,Tb11.0330:mRNA-p1;Tb927.11.7670.1-p1,687557.25,573000.9375,586785.625,596845.5,688403.6875,612869.625,"Cornifin (SPRR) family, putative"
70,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,1052967.625,906607.75,831300.8125,703897.6875,662814,740118.4375,hypothetical protein
71,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,202335.6719,234292.3125,228985.3594,326743.8125,309831.7813,354888.6875,"dynein arm light chain, axonemal, putative"
72,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,9272012,6242353.5,8144360,8167869.5,8244001.5,8054146.5,epsilon tubulin
73,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,29817.625,65034.9375,17171.6875,78238.21094,15768.2207,58643,"hypothetical protein, conserved"
75,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,6208918,5521788.5,5435703,6757226.5,7641151.5,6962088.5,"dynein light chain LC8, putative"
76,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,2106937.5,1940514,1870044,2619312,2816643.5,2870531.5,"hypothetical protein, conserved"
77,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,868347.125,858567.25,852267.625,900590.0625,849911.9375,836358.5625,"metallo- peptidase, Clan MG, Family M24"
79,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,6682738,6532877.5,5902577.5,7498353,7766167.5,8366895.5,"hypothetical protein, conserved"
80,Tb11.1390.1-p1;Tb927.11.1830:mRNA-p1,199118.7969,203101.0156,213227.6094,54827.75391,58012.94141,62256.6875,"hypothetical protein, conserved"
82,Tb11.1780.1-p1,7786672,7052950.5,6972089,5637446,4658180.5,5637948.5,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
83,Tb11.1790.1-p1,1378768.875,1370190.125,1466905.625,810331.75,918994.25,746270.0625,"retrotransposon hot spot protein (RHS, pseudogene), putative"
85,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,64117.32813,47988,52003.48828,53091.87891,50777.35547,60072.80469,"Calponin homology (CH) domain containing protein, putative"
86,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,146798.5469,232779.8594,244171.625,228382.5313,249765.4063,270836.8125,J Biosynthesis Protein 2
87,Tb11.v5.0152.1-p1;Tb927.7.4670:mRNA-p1,231051.5938,218374.0625,225163.9531,209778.0625,204669.2188,203146.7656,ribosomal RNA processing protein 4
88,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,339780.8438,357533.3438,349836.5625,276694.8438,304754.1875,301656.1563,hypothetical protein
91,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,265694.625,234586.1406,239218,264040.8125,280915.6563,258636.3438,"hypothetical protein, conserved"
92,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,1357218.25,1167523,1139252.125,1316004.5,1199960.5,1305943.25,"hypothetical protein, conserved"
93,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,11455589,11652325,11443449,9489172,9625858,10148822,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
94,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,147919.375,129324.0703,151262.7188,186655.125,189255.4531,182998.25,"conserved hypothetical protein, putative"
95,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,2608618.5,2799361.25,2871064.5,2522466.75,2587208.5,2247312,proteasome beta 6 subunit
96,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,245633.9688,271199.7188,259755.4688,297770.4375,316914.875,299695.9688,"HD domain containing protein, putative"
97,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,246899.0781,220185.2969,244721.2813,228514.6563,236439.7969,259664.7188,"Trm112p-like protein, putative"
98,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,194261.3281,196614.6094,177300.6719,229619.6406,229762.25,226972.8125,"hypothetical protein, conserved"
99,Tb11.v5.0168.1-p1;Tb927.7.4860:mRNA-p1,26586.52148,32169.23828,16206.35938,90289.42969,85044.0625,85122.49219,kinetoplastid kinetochore protein 13
100,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,442889.5313,453236.0313,465359.9688,683110.375,676445.8125,649987.875,"hypothetical protein, conserved"
101,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,114418.4531,107771.4453,111903.6406,111309.9922,109960.1641,111972.1094,Present in the outer mitochondrial membrane proteome 34
102,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,1457784.5,1393673.375,1360034.125,1056593.125,966646,1090164.5,5'-3' exoribonuclease A
103,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,465701.2188,471701.9688,545808.3125,805369.75,870291.375,803558.125,"hypothetical protein, conserved"
106,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,368039.3125,368407.25,346357.8125,297565.9688,302645.125,320361.75,"hypothetical protein, conserved"
107,Tb11.v5.0179.1-p1;Tb927.7.4980:mRNA-p1,117311.3125,123926.25,129560.6797,132130.7813,134652.4688,124599.0078,Present in the outer mitochondrial membrane proteome 35
108,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,512053.6875,523981.9688,567895.625,507018.8125,477186.1875,492654.9688,"hypothetical protein, conserved"
109,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,27560702,25666756,25633902,22058670,21929490,22502172,"60S ribosomal protein L19, putative"
110,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,433147.2813,416430.25,401738.0938,400754.0625,423712.8125,449004.5,"hypothetical protein, conserved"
112,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,1703028,1376128.875,1300126.375,1987367.125,1609982.5,2082125.25,"hypothetical protein, conserved"
114,Tb11.v5.0189.1-p1;Tb927.7.5090:mRNA-p1,62146.76563,82577.69531,89509.6875,101871.9844,103483.0391,115824.3984,"condensin complex subunit 2, putative"
116,Tb11.v5.0191.1-p1;Tb927.10.5960:mRNA-p1,195605.2188,170805.6875,147780.0938,188887.6719,202425.1563,201656.8594,"engulfment and cell motility domain 2, putative"
117,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,169057.1875,156450.7969,165289.9531,170027.7188,162811.9688,162623.4531,"Centrosomal protein of 57 kDa, putative"
118,Tb11.v5.0194.1-p1;Tb927.10.6000:mRNA-p1,773991.75,664313.875,742996.375,560240.6875,641124,663019.625,"hypothetical protein, conserved"
119,Tb11.v5.0196.1-p1,3888212.75,4018192.5,3834771.25,3990375,3576274.25,3942987,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
121,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,3177104.5,3469553.5,3263360.25,3677554,4262603.5,3548867,universal minicircle sequence binding protein 2
122,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,3658551.75,3885268.75,3661770,3731312.5,4075757,3629255.75,"proteasome subunit beta type-5, putative"
123,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,66598.03125,68239.5,73141,57439.33594,52871.65625,58168.37109,"tRNA pseudouridine synthase A, putative"
124,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,102786.7188,105470.25,109152.0078,148246.4375,152597.1406,165565.1875,"hypothetical protein, conserved"
125,Tb11.v5.0204.1-p1;Tb927.10.6120:mRNA-p1,651665.6875,561115.75,517828.375,773169.625,492435.7188,811827.4375,"Peptidase M76 family, putative"
126,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,38006.39453,38462.82813,36567.29688,46353.27734,55566.13672,69416.67188,"hypothetical protein, conserved"
127,Tb11.v5.0208.1-p1;Tb927.5.310:mRNA-p1,1034815.125,939948.375,1003445.188,758610.8125,776513.625,783162.5625,"invariant surface glycoprotein, putative"
128,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,171518.625,161428.4688,165121.9063,192817.4688,201651.0469,173388.2031,"variant surface glycoprotein (VSG)-related, putative"
129,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,3915442.75,3811387,3644615.5,2462865.25,2898075.25,2737732,retrotransposon hotspot (RHS) protein 1
130,Tb11.v5.0215.1-p1;Tb927.5.300:mRNA-p1;Tb927.5.300b:mRNA-p1,321244.3125,294677.9375,292825.5313,384738.8438,360637.5625,398459.9688,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
131,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,1987809,2083645.875,1948739.875,1692957.125,1723670.75,1780139.25,"invariant surface glycoprotein, putative"
132,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,456074.7188,430349.3438,430615.5625,647976.625,634598.375,613433.75,"hypothetical protein, conserved"
133,Tb11.v5.0219.1-p1;Tb927.5.490:mRNA-p1,279817.9375,279873.9688,286791.7813,234630.5469,240016.9219,240891,"methyltransferase, putative"
134,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,110142.875,104207.4219,109841.0938,59076.79688,57688.06641,55708.76953,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
135,Tb11.v5.0223.1-p1;Tb927.5.440:mRNA-p1,94579.84375,83131.5625,81678.65625,6741.52832,20936.82813,24466.15234,"trans-sialidase, putative"
136,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,160462.2656,168865.9844,165540.375,53296.38281,58754.49609,63721.26563,"invariant surface glycoprotein, putative"
137,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,2662682.75,2571616.5,2500413.25,2604665,2571314.75,2599681.25,"75 kDa invariant surface glycoprotein, putative"
138,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,503304.6875,520228.8438,524442.625,462609.7813,502468.75,432643.4688,"75 kDa invariant surface glycoprotein, putative"
139,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,1099011.875,1065578.625,1074491.375,1057103.875,1111502.25,1126822.75,75 kDa invariant surface glycoprotein
140,Tb11.v5.0232.1-p1;Tb927.10.5250:mRNA-p1,231828.9688,237649.3438,231507.4531,237451.9531,256914.0156,364225.4375,"zinc finger protein family member, putative"
141,Tb11.v5.0233.1-p1;Tb927.10.5240:mRNA-p1,26259.13672,26052.42969,24009.50391,29853.70117,38294.44531,37488.96094,"cAMP binding protein, putative"
142,Tb11.v5.0236.1-p1;Tb927.10.5210:mRNA-p1,1236347.625,1162409.125,1235178.125,1087558.75,1029166.688,975147.9375,TFIIH basal transcription factor subunit
143,Tb11.v5.0237.1-p1;Tb927.10.5200:mRNA-p1,109968.7969,119254.0625,123563.4609,113665.8672,118700.6563,118930.5313,"hypothetical protein, conserved"
144,Tb11.v5.0243.1-p1;Tb11.v5.1060.1-p1;Tb927.10.5330:mRNA-p1;Tb927.10.5340:mRNA-p1,27820262,26993460,27456308,22399534,22354904,20357532,"40S ribosomal protein S18, putative"
145,Tb11.v5.0245.1-p1;Tb927.10.5310:mRNA-p1,248586.6406,226120.7969,231330.2969,201380.0938,187020.1563,206341.5313,"AMP-activated kinase, alpha 1"
146,Tb11.v5.0246.1-p1;Tb927.10.5300:mRNA-p1,997708.1875,904268.625,890076.875,960460.4375,923895.25,535123,"eukaryotic translation initiation factor 6 (eIF-6), putative"
147,Tb11.v5.0248.1-p1;Tb927.10.5280:mRNA-p1,153811.5781,139506.875,137514.9688,152766.4063,140874.1094,152692.375,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
148,Tb11.v5.0249.1-p1;Tb927.10.5270:mRNA-p1,113475.7969,108100.9453,102484.7031,96814.72656,105942.9375,106165.375,mitogen-activated protein kinase kinase 5
149,Tb11.v5.0252.1-p1;Tb927.11.7310:mRNA-p1,251750.375,262682.9688,254245.5469,316846.8438,290264.75,305282.4063,"RNA binding protein, putative"
150,Tb11.v5.0253.1-p1;Tb927.11.7300:mRNA-p1,258183.6094,289647.8438,196368.3438,244100.0938,291631.1875,247767.875,"major facilitator superfamily, putative"
151,Tb11.v5.0254.1-p1;Tb927.11.7290:mRNA-p1,491458.3125,459232.1563,465504.3438,547980.125,500693.6875,508272.0938,"pantothenate kinase subunit, putative"
152,Tb11.v5.0255.1-p1;Tb927.11.7280:mRNA-p1,186292.7344,204568.0313,218624.6094,207797.2813,184095.75,218730.3906,"DNA-direcetd RNA polymerase II, subunit 9, putative"
153,Tb11.v5.0256.1-p1;Tb927.11.7270:mRNA-p1,2347886.75,2592413,2598037.5,2509121.75,2309584,2541731.25,"proteasome beta 3 subunit, putative"
154,Tb11.v5.0257.1-p1;Tb927.11.7250:mRNA-p1,30946.74023,47604.50391,44035.47656,16789.59375,16808.41992,17676.49805,"hypothetical protein, conserved"
155,Tb11.v5.0258.1-p1;Tb927.11.7240:mRNA-p1,140841.5313,147685.75,164084.5,310699.8438,325934.6875,319686.9375,nexin-dynein regulatory complex 2
156,Tb11.v5.0261.1-p1;Tb927.7.4480:mRNA-p1,2340049.75,2312832.75,2414994,2258195.75,2266234.75,2278700.5,"adenosine 5'-monophosphoramidase, putative"
157,Tb11.v5.0262.1-p1;Tb927.7.4490:mRNA-p1,721454.125,559035.8125,607578.1875,485409.0625,544315,540518.4375,"hypothetical protein, conserved"
158,Tb11.v5.0263.1-p1;Tb927.7.4500:mRNA-p1,4867678.5,4573650.5,4248111.5,4687868,5094158.5,5148261,"PX domain containing protein, putative"
159,Tb11.v5.0264.1-p1;Tb927.7.4510:mRNA-p1,2452576.5,207279.8594,588946.0625,2736146.5,869511.75,2843737.5,"Domain of unknown function (DUF4201), putative"
160,Tb11.v5.0265.1-p1;Tb927.7.4520:mRNA-p1,4744171.5,3985673.75,3891699.75,4574686.5,3856900.5,4675257,"Thioredoxin-like, putative"
161,Tb11.v5.0268.1-p1;Tb927.7.4550:mRNA-p1,337913.75,390118.9063,378772.375,277673.5625,265563.4375,253268.1094,Mitochondrial ribosomal protein L7/L12
162,Tb11.v5.0269.1-p1;Tb927.7.4560:mRNA-p1,54829.50391,53937.14063,61132.12891,61230.39063,54626.625,55946.28906,Histone acetyltransferase 1
163,Tb11.v5.0270.1-p1;Tb927.7.4570:mRNA-p1,2042019.875,1843050.125,1888390.625,3603327.75,3307996.75,3349696.75,inosine-guanine nucleoside hydrolase
164,Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1,492006.875,469466.125,467775.1875,663396.625,546954.375,627364.125,trypanin
166,Tb11.v5.0273.1-p1;Tb927.10.6330:mRNA-p1,59014.99609,50396.40625,51412.32813,101510.8125,108145.5078,103158.9453,kinetoplastid kinetochore protein 1
167,Tb11.v5.0274.1-p1;Tb927.10.6320:mRNA-p1,342886.6563,299027.625,300677.25,360834.7188,321797.6875,369796.4688,"CBF/Mak21 family, putative"
168,Tb11.v5.0275.1-p1;Tb927.10.6310:mRNA-p1,1272183.875,1312441.125,1286721.25,997482.25,1011404.313,997171.1875,"major vault protein, putative"
169,Tb11.v5.0277.1-p1;Tb927.10.6290:mRNA-p1,268711.625,331250.1875,352235.5313,410043.0625,375065.4375,358832.3438,"ATP-dependent DEAD/H RNA helicase, putative"
172,Tb11.v5.0282.1-p1;Tb927.5.340:mRNA-p1,46274.42188,50287.11328,48092.20313,15793.95996,32875.59375,16568.08203,"expression site-associated gene 5 (ESAG5) protein, putative"
173,Tb11.v5.0289.1-p1;Tb927.11.12770:mRNA-p1,65767.39063,54088.91406,54142.42188,91158.30469,76792.23438,86836.45313,"ubiquitin ligase, putative"
174,Tb11.v5.0291.1-p1;Tb927.11.12750:mRNA-p1,437855.9063,469400.8438,461443.9063,426119.9063,481942.75,404882.2188,cleavage and polyadenylation specificity factor 30 kDa subunit
176,Tb11.v5.0305.1-p1;Tb927.10.15950:mRNA-p1,109801.3828,97537.14844,106187.9922,103073.0781,102690.0781,96040.47656,TATA-box-binding protein
178,Tb11.v5.0325.1-p1,963245.5625,902704.9375,911324,613196.4375,576225.125,611059,"retrotransposon hot spot (RHS) protein, putative"
179,Tb11.v5.0326.1-p1,1319474.375,1159146.75,1199235.5,775954.25,758747.0625,852019.1875,"retrotransposon hot spot (RHS) protein, putative"
180,Tb11.v5.0330.1-p1;Tb927.10.8440:mRNA-p1,705675.75,713002.875,737054.8125,2187989.5,2788490.5,2335737,glucose transporter 1B
181,Tb11.v5.0331.1-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8520:mRNA-p1,675664.75,774153.8125,766087.0625,1427853.125,1841375,1395593,"glucose transporter, putative"
182,Tb11.v5.0339.1-p1;Tb927.10.5080:mRNA-p1,86581.48438,62609.16797,80918.92188,83973.96094,87376.67969,94605.57813,GPI transamidase component Tta2
183,Tb11.v5.0340.1-p1;Tb927.10.5070:mRNA-p1,280720.0625,256556.3906,241358.9375,254675.6563,236674.5625,262248.25,"ribonuclease H, putative"
184,Tb11.v5.0342.1-p1;Tb927.10.5040:mRNA-p1,286640.75,325582.5313,294221.0625,363902.5,333699,441972.0625,"chaperone protein DnaJ, putative"
